len(N),E,ns
16,-6,83.5
16,-5,86.3
16,-4,83.6
16,-3,83.4
16,-2,86.8
16,-1,86.5
16,0,52.0
16,1,76.9
16,2,76.5
16,3,81.1
16,4,77.8
16,5,78.8
16,6,78.7
16,7,79.0
16,8,81.4
16,9,78.9
16,10,78.8
16,11,80.8
16,12,79.1
16,13,78.5
16,14,80.7
16,15,79.3
16,16,78.8
16,17,80.9
16,18,79.5
16,19,78.6
16,20,81.4
16,21,79.7
16,22,78.4
17,-22,79.7
17,-21,81.4
17,-20,80.2
17,-19,83.0
17,-18,89.0
17,-17,82.8
17,-16,88.5
17,-15,92.9
17,-14,92.6
17,-13,88.8
17,-12,88.6
17,-11,86.8
17,-10,87.1
17,-9,89.0
17,-8,94.1
17,-7,87.1
17,-6,89.8
17,-5,86.1
17,-4,88.2
17,-3,89.3
17,-2,85.9
17,-1,63.2
17,0,80.6
17,1,81.1
17,2,85.1
17,3,81.8
17,4,82.5
17,5,82.4
17,6,83.0
17,7,84.0
17,8,82.4
17,9,82.6
17,10,84.2
17,11,82.8
17,12,82.4
17,13,84.2
17,14,82.4
17,15,82.4
17,16,84.0
17,17,83.6
17,18,82.5
17,19,84.2
17,20,82.7
17,21,82.3
17,22,84.6
18,-22,81.2
18,-21,79.9
18,-20,90.2
18,-19,88.8
18,-18,82.8
18,-17,90.1
18,-16,94.2
18,-15,92.5
18,-14,88.0
18,-13,88.9
18,-12,85.9
18,-11,87.0
18,-10,88.9
18,-9,86.7
18,-8,86.9
18,-7,88.7
18,-6,87.1
18,-5,88.0
18,-4,89.7
18,-3,84.8
18,-2,63.5
18,-1,80.8
18,0,81.3
18,1,83.6
18,2,82.0
18,3,82.7
18,4,82.5
18,5,82.7
18,6,84.6
18,7,82.8
18,8,83.0
18,9,84.0
18,10,82.5
18,11,82.8
18,12,84.3
18,13,83.0
18,14,83.0
18,15,84.3
18,16,82.7
18,17,82.9
18,18,84.7
18,19,83.4
18,20,82.9
18,21,84.6
18,22,83.9
